# CREATED_DATE: 2023-02-01T18:00:43.822Z
# MODIFIED_DATE: 2024-02-14T10:03:44.841Z
# STATUS: Following
# OBS_GROUP: Unknown
# NON_DETECT_BAND: ACAM1 - orange
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: NGC2708:[PWL2002]STR; (08:56:12.50, -03:17:58.99)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2023bee
# RA: 134.0484380100887
# DEC: -3.3255440014668474
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2023-02-01T17:59:54.816Z
# REDSHIFT: 0.006698
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2023-01-31T09:10:17Z
# NON_DETECT_LIMIT: 17.71
# MW_EBV: 0.014
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_target.jpeg
# POSTAGE_STAMP_REF: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_ref.jpeg
# POSTAGE_STAMP_DIFF: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_target.fits
# POSTAGE_STAMP_REF_FITS: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: GOOD
# SLUG: 2023bee
# REAL_BOGUS_SCORE: 0.0943543
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [10, 16, 21, 22, 29, 30, 32, 47, 68, 90, 100]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59970.299  g-ZTF  95.622  168.284  22.549  1.911  None  P48  ZTF-Cam  None
OBS:      59972.298  r-ZTF  523.113  213.067  20.704  0.442  None  P48  ZTF-Cam  None
OBS:      59979.294  g-ZTF  79990.780  1742.396  15.242  0.024  None  P48  ZTF-Cam  None
OBS:      59979.401  r-ZTF  75231.547  1747.999  15.309  0.025  None  P48  ZTF-Cam  None
OBS:      59983.204  g-ZTF  283608.915  4128.218  13.868  0.016  None  P48  ZTF-Cam  None
OBS:      59983.337  r-ZTF  251234.981  3497.781  14.000  0.015  None  P48  ZTF-Cam  None
OBS:      59985.232  r-ZTF  331009.043  7943.404  13.700  0.026  None  P48  ZTF-Cam  None
OBS:      59985.256  g-ZTF  389475.409  6854.065  13.524  0.019  None  P48  ZTF-Cam  None
OBS:      59992.317  r-ZTF  466659.233  6276.501  13.328  0.015  None  P48  ZTF-Cam  None
OBS:      59994.289  r-ZTF  488832.595  8481.010  13.277  0.019  None  P48  ZTF-Cam  None
OBS:      59994.321  g-ZTF  583982.922  8294.465  13.084  0.015  None  P48  ZTF-Cam  None
OBS:      60013.248  r-ZTF  224864.003  4643.141  14.120  0.022  None  P48  ZTF-Cam  None
OBS:      60013.298  g-ZTF  229699.419  4691.999  14.097  0.022  None  P48  ZTF-Cam  None
OBS:      60017.214  g-ZTF  177222.924  4967.691  14.379  0.030  None  P48  ZTF-Cam  None
OBS:      60021.212  r-ZTF  210397.226  5514.677  14.192  0.028  None  P48  ZTF-Cam  None
OBS:      60021.253  g-ZTF  53683.409  6709.831  15.675  0.136  None  P48  ZTF-Cam  None
OBS:      60031.151  r-ZTF  138969.637  3332.498  14.643  0.026  None  P48  ZTF-Cam  None
OBS:      60031.191  g-ZTF  73255.449  1925.076  15.338  0.029  None  P48  ZTF-Cam  None
OBS:      60036.191  r-ZTF  106335.920  2619.379  14.933  0.027  None  P48  ZTF-Cam  None
OBS:      60036.292  g-ZTF  60640.093  1605.175  15.543  0.029  None  P48  ZTF-Cam  None
OBS:      60044.153  g-ZTF  51238.932  1585.772  15.726  0.034  None  P48  ZTF-Cam  None
